Date/Time,Electricity:HVAC [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep),InteriorLights:Electricity [J](TimeStep),Electricity:Facility [J](Hourly) 
 01/07  07:00:00,25468086.714222487,20610866.826928604,0.0,3573622.799999992,39293314.31422248 
 01/07  08:00:00,25665415.63259495,20808195.745301068,0.0,3573622.799999992,39490643.232594945 
 01/07  09:00:00,4800638.254972758,1310507.9895809158,0.0,17868113.99999996,35483258.25497272 
 01/07  10:00:00,2086877.180207992,574141.2908724839,0.0,17868113.99999996,32769497.18020795 
 01/07  11:00:00,1148281.8075268273,129395.23441877362,0.0,17868113.99999996,31830901.807526782 
 01/07  12:00:00,1018886.5731080538,0.0,0.0,17868113.99999996,31701506.57310801 
 01/07  13:00:00,1018886.5731080538,0.0,0.0,17868113.99999996,31701506.57310801 
 01/07  14:00:00,1018886.5731080538,0.0,0.0,17868113.99999996,31701506.57310801 
 01/07  15:00:00,10706231.217721412,6304707.871061542,0.0,5360434.199999987,25036819.61772139 
 01/07  16:00:00,17194187.127857108,12336967.240563225,0.0,5360434.199999987,31524775.527857088 
 01/07  17:00:00,18957714.37692458,14100494.4896307,0.0,5360434.199999987,33288302.776924558 
 01/07  18:00:00,28611792.908986803,23754573.021692917,0.0,1786811.399999996,38087307.908986785 
 01/07  19:00:00,31334432.852400918,26477212.965107035,0.0,1786811.399999996,40809947.85240091 
 01/07  20:00:00,32495002.043717366,27637782.156423483,0.0,1786811.399999996,41970517.043717355 
 01/07  21:00:00,33028905.25610274,28171685.368808858,0.0,1786811.399999996,42504420.256102726 
 01/07  22:00:00,33153075.497963388,28295855.610669505,0.0,1786811.399999996,42628590.49796338 
 01/07  23:00:00,33790073.057557434,28932853.17026355,0.0,1786811.399999996,43265588.05755743 
 01/07  24:00:00,33500693.270622335,28643473.383328453,0.0,1786811.399999996,42976208.27062233 
 01/08  01:00:00,33455139.174114965,28597919.286821086,0.0,1786811.399999996,42930654.17411495 
 01/08  02:00:00,33991975.08443567,29134755.197141793,0.0,1786811.399999996,43467490.084435664 
 01/08  03:00:00,34371911.75551216,29514691.868218277,0.0,1786811.399999996,43847426.755512156 
 01/08  04:00:00,34827543.07411887,29970323.186824985,0.0,1786811.399999996,44303058.07411885 
 01/08  05:00:00,35251751.00825478,30394531.1209609,0.0,1786811.399999996,44727266.008254774 
 01/08  06:00:00,35685063.01258249,30827843.12528861,0.0,1786811.399999996,45160578.01258248 
 01/08  07:00:00,37786208.57357007,32928988.68627619,0.0,1786811.399999996,47261723.57357006 
 01/08  08:00:00,38296862.48711726,33439642.599823378,0.0,1786811.399999996,47772377.487117246 
 01/08  09:00:00,35597004.91217741,30739785.02488353,0.0,1786811.399999996,45072519.912177406 
 01/08  10:00:00,32378261.26873283,27521041.38143895,0.0,1786811.399999996,41853776.268732816 
 01/08  11:00:00,28902431.58327447,24045211.695980586,0.0,1786811.399999996,38377946.583274454 
 01/08  12:00:00,25540684.711227294,20683464.823933408,0.0,1786811.399999996,35016199.71122728 
 01/08  13:00:00,20709280.57902381,15852060.691729927,0.0,1786811.399999996,30184795.5790238 
 01/08  14:00:00,17813441.15693457,12956221.269640684,0.0,1786811.399999996,27288956.15693456 
 01/08  15:00:00,16314065.951790214,11456846.06449633,0.0,1786811.399999996,25789580.9517902 
 01/08  16:00:00,18991199.936598208,14133980.049304321,0.0,1786811.399999996,28466714.936598197 
 01/08  17:00:00,24142388.26285245,19285168.375558566,0.0,1786811.399999996,33617903.26285244 
 01/08  18:00:00,30003949.41687555,25146729.529581666,0.0,1786811.399999996,39479464.416875534 
 01/08  19:00:00,32894291.162259646,28037071.274965763,0.0,1786811.399999996,42369806.16225964 
 01/08  20:00:00,34148847.61762819,29291627.730334308,0.0,1786811.399999996,43624362.61762817 
 01/08  21:00:00,35015170.07163778,30157950.184343897,0.0,1786811.399999996,44490685.07163777 
 01/08  22:00:00,35420248.70363641,30563028.816342525,0.0,1786811.399999996,44895763.7036364 
 01/08  23:00:00,35344302.49730178,30487082.610007897,0.0,1786811.399999996,44819817.49730177 
 01/08  24:00:00,35412457.552474394,30555237.66518051,0.0,1786811.399999996,44887972.55247439 
 01/09  01:00:00,66191474.691304766,61334254.80401089,0.0,1786811.399999996,78229890.89130476 
 01/09  02:00:00,56295158.388020985,51437938.500727095,0.0,1786811.399999996,68333574.58802097 
 01/09  03:00:00,57015928.427449204,52158708.540155314,0.0,1786811.399999996,69054344.62744918 
 01/09  04:00:00,54835072.097025186,49977852.2097313,0.0,1786811.399999996,66873488.297025174 
 01/09  05:00:00,53737715.42351063,48880495.53621675,0.0,1786811.399999996,65776131.62351062 
 01/09  06:00:00,52178526.20233141,47321306.315037526,0.0,3573622.799999992,66003753.8023314 
 01/09  07:00:00,89193703.53574029,84336483.6484464,0.0,3573622.799999992,103018931.13574027 
 01/09  08:00:00,69838050.05771376,64980830.17041989,0.0,10720868.399999974,90810523.25771374 
 01/09  09:00:00,22991388.634407945,18134168.747114062,0.0,32162605.199999925,78220104.63440786 
 01/09  10:00:00,13460867.710813459,8603647.823519576,0.0,32162605.199999925,68689583.71081337 
 01/09  11:00:00,8478469.646510333,3621249.75921645,0.0,32162605.199999925,63707185.64651024 
 01/09  12:00:00,7185253.008196259,2328033.120902377,0.0,32162605.199999925,62413969.008196175 
 01/09  13:00:00,7209254.085184278,2352034.1978903953,0.0,32162605.199999925,59875068.88518419 
 01/09  14:00:00,3929084.8521914724,553587.8693867859,0.0,32162605.199999925,59157800.85219139 
 01/09  15:00:00,6182382.395172369,1325162.5078784865,0.0,32162605.199999925,61411098.39517228 
 01/09  16:00:00,7573169.84843312,2715949.961139237,0.0,32162605.199999925,62801885.84843304 
 01/09  17:00:00,9649768.66996049,4792548.782666608,0.0,32162605.199999925,64878484.6699604 
 01/09  18:00:00,25831085.167204484,20973865.2799106,0.0,25015359.599999942,71349654.36720443 
 01/09  19:00:00,46287972.76166158,41430752.8743677,0.0,17868113.99999996,79533493.96166155 
 01/09  20:00:00,13884254.413302626,10116887.45448802,0.0,17868113.99999996,47129775.61330257 
 01/09  21:00:00,33949162.53641848,29091942.6491246,0.0,10720868.399999974,57484536.93641845 
 01/09  22:00:00,37749890.9062251,32892671.018931217,0.0,10720868.399999974,61285265.30622508 
 01/09  23:00:00,51200380.102402106,46343160.21510822,0.0,3573622.799999992,65025607.702402085 
 01/09  24:00:00,54261104.03147572,49403884.14418183,0.0,1786811.399999996,66299520.2314757 
 01/10  01:00:00,54477992.20553643,49620772.31824256,0.0,1786811.399999996,66516408.40553643 
 01/10  02:00:00,54768338.01482011,49911118.12752622,0.0,1786811.399999996,66806754.2148201 
 01/10  03:00:00,54964848.08733665,50107628.20004276,0.0,1786811.399999996,67003264.28733664 
 01/10  04:00:00,55159168.88279491,50301948.99550103,0.0,1786811.399999996,67197585.0827949 
 01/10  05:00:00,56399149.314334795,51541929.42704092,0.0,1786811.399999996,68437565.5143348 
 01/10  06:00:00,54664146.7484712,49806926.86117732,0.0,3573622.799999992,68489374.3484712 
 01/10  07:00:00,90971951.69283633,86114731.80554245,0.0,3573622.799999992,104797179.29283632 
 01/10  08:00:00,71724389.97346632,66867170.08617244,0.0,10720868.399999974,92696863.1734663 
 01/10  09:00:00,24206805.669933803,19349585.782639924,0.0,32162605.199999925,79435521.66993372 
 01/10  10:00:00,13871884.688208394,9014664.800914511,0.0,32162605.199999925,69100600.68820831 
 01/10  11:00:00,8837320.901465865,3980101.014171982,0.0,32162605.199999925,64066036.90146578 
 01/10  12:00:00,6378325.282185536,2507156.8278137115,0.0,32162605.199999925,61607041.28218545 
 01/10  13:00:00,3946954.8326546755,1560155.0378781562,0.0,32162605.199999925,56612769.632654585 
 01/10  14:00:00,3733851.3812209195,0.0,123770.9469836432,32162605.199999925,58962567.38122085 
 01/10  15:00:00,3929853.3981507192,0.0,1444486.3645297138,32162605.199999925,59158569.39815064 
 01/10  16:00:00,3989988.2353890906,0.0,1776382.5124818026,32162605.199999925,59218704.235388994 
 01/10  17:00:00,4134603.296574746,0.0,557668.6789993471,32162605.199999925,59363319.29657466 
 01/10  18:00:00,10101481.616080115,6299104.604577686,0.0,25015359.599999942,55620050.816080034 
 01/10  19:00:00,38435767.99717617,33578548.10988229,0.0,17868113.99999996,71681289.19717613 
